순번,STATION_NM,GPS_X,GPS_Y,MAP_X,MAP_Y,STATION_ID,MOBILE_NO
7389,가산2리,12737.024,3720.818,254678.9799,427700.1337,237000162,42093
7390,하림리입구,12738.396,3720.531,256702.5637,427177.3275,237000580,42130
7391,오금동고개밑,12738.742,3720.117,257222.5722,426418.3419,237000579,42145
7392,연천읍슈퍼,12704.408,3805.612,206446.5963,510381.818,238000418,43243
7393,충현탑.펌프장,12704.305,3805.286,206298.217,509784.4804,238000233,43232
7394,연천상회,12704.782,3804.578,206993.6233,508472.8436,238000231,43283
7395,전차대대,12705.288,3804.565,207737.1028,508452.1744,238000230,43293
7396,고문리삼거리,12706.727,3803.828,209843.1271,507090.2338,238000229,43365
7397,한국농어촌공사.전곡읍사무소,12703.999,3801.746,205855.8935,503234.6295,238000227,43196
7398,은대3리.바래마을,12704.12,3802.643,206026.6908,504897.8584,238000225,43210
7399,어수물.은대4리,12704.063,3803.031,205947.7901,505612.5699,238000224,43204
7400,예비군훈련장입구,12704.118,3803.287,206028.7155,506085.5925,238000412,43212
7401,통현2리.고포리,12704.259,3803.646,206233.7424,506750.5486,238000223,43226
7402,범화골삼거리,12708.37,3808.528,212229.4567,515787.8673,238000486,43398
7403,관사앞,12708.794,3808.805,212850.4428,516304.8732,238000487,43404
7404,독립포대,12733.702,3723.11,249742.5391,431914.1766,237000979,42035
7405,천서리부대앞,12733.087,3723.72,248831.5278,433024.153,237000590,42023
7406,천서사거리,12732.807,3724.201,248405.5164,433918.139,237000988,42020
7407,게림2리갯가마을,12735.463,3724.702,252321.4707,434865.1961,237000022,42052
7408,계림1리토물,12735.818,3724.809,252841.4634,435065.2031,237000021,42061
7409,윤촌리,12736.83,3724.503,254343.461,434507.2322,237000029,42087
7410,옥촌2리,12736.735,3724.333,254209.4672,434196.2324,237000028,42083
7411,무촌리,12736.416,3723.686,253746.4904,433002.234,237000026,42077
7412,초현1리위새재,12736.077,3723.197,253252.5093,432087.233,237000025,42066
7413,옥천1리입구,12736.964,3724.746,254536.4521,434957.2319,237000031,42092
7414,수영오거리.방송통신대입구,12657.72,3714.217,196630.6348,415313.7192,233000783,36147
7415,초당골,12654.643,3711.883,192076.0222,410999.6921,233000909,36054
7416,상기1리즘곰마을,12655.465,3712.036,193292.2977,411280.3628,233000550,36063
7417,상기1리호현리,12655.662,3712.169,193584.2326,411527.324,233000549,36066
7418,상기1리세거리,12655.855,3712.182,193870.8268,411550.8859,233000548,36072
7419,아랫말.수기리,12658.685,3711.947,198057.4886,411113.4128,233000566,36200
7420,수기리,12658.791,3711.99,198213.3797,411193.878,233000565,36214
7421,진안동,12702.439,3712.802,203611.1515,412694.8128,233000640,36355
7422,빅마켓앞,12704.084,3713.827,206043.9983,414593.5085,233000115,36405
7423,음양1리,12701.057,3708.453,201567.9509,404650.5083,233000046,36317
7424,망월리,12700.568,3708.937,200843.2545,405546.8058,233000044,36306
7425,은장슈퍼,12647.592,3711.552,181641.4985,410402.7095,233000880,37121
7426,쌍송공단,12647.418,3711.591,181383.7112,410475.5566,233000257,37119
7427,은장공단,12647.404,3711.884,181365.0596,411017.3812,233000256,37117
7428,남양성지,12648.898,3712.442,183578.0878,412045.9753,233000841,36015
7429,쌍정리,12643.453,3713.836,175528.7837,414644.2777,233001461,37071
7430,천등3리,12642.723,3714.581,174454.2435,416024.9229,233001464,37060
7431,석탄4리,12639.027,3743.528,169188.152,469589.6287,232000120,35171
7432,가자골,12639.039,3745.161,169216.7347,472610.3264,232000508,35175
7433,마조2리,12638.037,3745.242,167745.6662,472764.9137,232000252,35134
7434,신일해피트리1차,12658.436,3713.348,197690.0624,413705.314,233000596,36186
7435,우림그린빌리지,12658.346,3713.473,197555.9419,413936.5659,233000595,36176
7436,한국농수산대학,12658.226,3713.759,197379.0236,414465.2198,233000002,36161
7437,국립축산과학원,12657.976,3714.167,197010.1698,415219.7022,201000260,2069
7438,야목2리,12652.882,3715.825,189480.0223,418294.2813,233001274,37202
7439,궁평항,12641.061,3707.007,171947.6263,402015.1661,233000330,37022
7440,수원대학교,12658.786,3712.83,198205.2497,412742.494,233000575,36210
7441,삼성전자,12703.755,3713.424,205557.5158,413846.3895,233000112,36395
7442,수영오거리.방송통신대입구,12657.701,3714.222,196595.2214,415325.4479,233000839,36146
7443,대진화학,12657.253,3713.555,195939.7293,414088.0943,233000838,36135
7444,동화리.동남아파트,12657.149,3713.429,195785.4404,413856.157,233000837,36128
7445,봉담읍행정복지센터,12656.958,3713.225,195502.9266,413478.7942,233000836,36123
7446,왕림리.상기리입구,12656.391,3711.873,194663.1937,410977.4832,233000831,36103
7447,왕림4리.세곡리,12656.293,3711.361,194516.7418,410031.0815,233000829,36090
7448,당하리.흰돌산기도원입구,12656.289,3711.129,194510.3287,409596.4603,233000828,36089
7449,해병대사령부,12656.181,3710.72,194350.4431,408845.167,233000827,36083
7450,화성푸드통합지원센터(로컬푸드직매장),12656.179,3710.338,194346.683,408139.8522,233000826,36082
7451,덕리,12656.082,3710.077,194202.5339,407657.3796,233000825,36077
7452,가재3리.덕우공단입구,12655.652,3709.375,193565.6782,406359.0417,233000822,37301
7453,가재3리.가재3리입구,12655.531,3709.215,193378.3936,406055.4705,233000821,37296
7454,가재4리.해병대보급중대,12655.062,3708.567,192690.2576,404865.6079,233000819,37282
7455,금곡1리,12704.738,3710.286,207015.6784,408043.6321,233000153,36420
7456,영천리,12706.219,3713.175,209202.148,413389.7892,233000145,36451
7457,영천1동,12705.641,3712.92,208348.0179,412918.1725,233000144,36455
7458,송산리입구.부처내고개,12659.454,3707.143,199194.7734,402228.4653,233001076,37346
7459,상두1리,12656.685,3706.363,195091.3043,400785.9916,233001205,37314
7460,동오사거리,12657.09,3707.865,195693.3097,403564.5182,233000635,37323
7461,행정리,12655.687,3707.851,193614.69,403540.0058,233001022,37303
7462,화성중고등학교,12654.363,3708.276,191655.6328,404327.7831,233000924,37256
7463,수목원,12653.952,3708.879,191047.314,405443.2885,233000546,37240
7464,팔탄공단앞,12652.607,3710.227,189059.4659,407938.6871,233000196,37191
7465,하저3리.한미약품,12651.949,3710.861,188087.4626,409113.1057,233000193,37165
7466,금광포란재아파트,12651.303,3711.002,187131.7789,409375.0396,233000192,36050
7467,무송1통마을입구,12650.712,3711.282,186257.1789,409894.0731,233001041,36045
7468,대광아파트,12650.041,3711.656,185266.2003,410588.5376,233000191,36037
7469,무송1통마을입구,12650.695,3711.267,186232.0754,409866.4514,233001042,36044
7470,무송교차로,12650.692,3710.91,186227.6515,409207.0029,233000207,36047
7471,금광포란재아파트,12651.335,3711,187178.4863,409371.138,233000206,36051
